KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-al_suryah_arabic-polish-culture-num1;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;Polariqi;x
dynamic-bedouin_arabic-culture-num1;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;x
dynamic-bolghar-uralic-culture-num1;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;Bolgharo-Permian;x
dynamic-buryat-kirgiz-culture-num1;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;x
dynamic-czech-hungarian-culture-num1;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;x
dynamic-greek-culture-num1;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;x
dynamic-gujarati-culture-num1;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;Gond-Gujarati;x
dynamic-highland_scottish-norwegian-culture-num1;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;x
dynamic-kannada-marathi-culture-num1;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;x
dynamic-mali-bozo-culture-num1;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;x
dynamic-mongol-russian_culture-culture-num1;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;Russo-Mongol;x
dynamic-nepali-culture-num1;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;x
dynamic-oghuz-culture-num1;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;x
dynamic-tibetan-culture-num1;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;x
dynamic-uzbehk-tajik-culture-num1;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;Karluko-Tajik;x
