PROV1;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;x
PROV4;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;x
PROV13;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;x
PROV29;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;Lukmançylyk Šlýapa;x
PROV64;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;x
PROV97;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;Ciudad del Lago de Sal;x
PROV100;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;x
PROV102;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;x
PROV122;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;x
PROV141;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;x
PROV251;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;Godthåb;x
PROV317;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;x
PROV329;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;x
PROV334;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV393;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;x
PROV394;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;x
PROV474;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;x
PROV552;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV577;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;x
PROV627;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;x
PROV683;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;x
PROV684;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;x
PROV687;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV1044;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;x
